id,restaurant_id,rating,review_type,author_display,content_display,created_at
29,151,3,dummy,더미 사용자,[더미 리뷰] 무난하게 이용하기 좋았어요. 다음에는 다른 메뉴도 먹어보려 해요.,2026-07-30T11:40:10.134419
30,151,2,dummy,더미 사용자,[더미 리뷰] 기대보다는 아쉬웠지만 이용은 가능했습니다.,2026-07-30T11:40:10.134419
31,151,2,dummy,더미 사용자,[더미 리뷰] 기대보다는 아쉬웠지만 이용은 가능했습니다.,2026-07-30T11:40:10.134419
32,151,5,dummy,더미 사용자,[더미 리뷰] 재방문하고 싶은 곳이에요. 음식과 서비스가 모두 좋았습니다.,2026-07-30T11:40:10.134419
33,151,3,dummy,더미 사용자,[더미 리뷰] 무난하게 이용하기 좋았어요. 다음에는 다른 메뉴도 먹어보려 해요.,2026-07-30T11:40:10.134419
34,151,4,dummy,더미 사용자,[더미 리뷰] 전체적으로 만족스러웠어요. 다음에도 이용할 것 같아요.,2026-07-30T11:40:10.134419
35,151,4,dummy,더미 사용자,[더미 리뷰] 메뉴가 괜찮고 제휴 혜택도 알차게 느껴졌습니다.,2026-07-30T11:40:10.134419
36,151,4,dummy,더미 사용자,[더미 리뷰] 전체적으로 만족스러웠어요. 다음에도 이용할 것 같아요.,2026-07-30T11:40:10.134419
37,152,5,dummy,더미 사용자,[더미 리뷰] 혜택도 이용하기 좋고 매장 분위기도 만족스러웠어요.,2026-07-30T11:40:10.134419
38,152,5,dummy,더미 사용자,[더미 리뷰] 재방문하고 싶은 곳이에요. 음식과 서비스가 모두 좋았습니다.,2026-07-30T11:40:10.134419
39,152,5,dummy,더미 사용자,[더미 리뷰] 재방문하고 싶은 곳이에요. 음식과 서비스가 모두 좋았습니다.,2026-07-30T11:40:10.134419
40,152,2,dummy,더미 사용자,[더미 리뷰] 기대보다는 아쉬웠지만 이용은 가능했습니다.,2026-07-30T11:40:10.134419
41,152,3,dummy,더미 사용자,[더미 리뷰] 무난하게 이용하기 좋았어요. 다음에는 다른 메뉴도 먹어보려 해요.,2026-07-30T11:40:10.134419
42,152,3,dummy,더미 사용자,[더미 리뷰] 무난하게 이용하기 좋았어요. 다음에는 다른 메뉴도 먹어보려 해요.,2026-07-30T11:40:10.134419
43,153,4,dummy,더미 사용자,[더미 리뷰] 메뉴가 괜찮고 제휴 혜택도 알차게 느껴졌습니다.,2026-07-30T11:40:10.134419
44,153,3,dummy,더미 사용자,[더미 리뷰] 보통 정도로 만족했습니다. 위치는 편리했어요.,2026-07-30T11:40:10.134419
45,153,2,dummy,더미 사용자,[더미 리뷰] 혜택은 확인했지만 조금 아쉬운 점이 있었어요.,2026-07-30T11:40:10.134419
46,153,5,dummy,더미 사용자,[더미 리뷰] 재방문하고 싶은 곳이에요. 음식과 서비스가 모두 좋았습니다.,2026-07-30T11:40:10.134419
47,153,3,dummy,더미 사용자,[더미 리뷰] 보통 정도로 만족했습니다. 위치는 편리했어요.,2026-07-30T11:40:10.134419
48,154,5,dummy,더미 사용자,[더미 리뷰] 재방문하고 싶은 곳이에요. 음식과 서비스가 모두 좋았습니다.,2026-07-30T11:40:10.134419
49,154,4,dummy,더미 사용자,[더미 리뷰] 메뉴가 괜찮고 제휴 혜택도 알차게 느껴졌습니다.,2026-07-30T11:40:10.134419
